date,gross_equity,net_equity
2020-01-01 00:00:00+00:00,100000.0,100000.0
2020-01-02 00:00:00+00:00,100000.0,100000.0
2020-01-03 00:00:00+00:00,100000.0,100000.0
2020-01-04 00:00:00+00:00,100000.0,100000.0
2020-01-05 00:00:00+00:00,100000.0,100000.0
2020-01-06 00:00:00+00:00,100000.0,100000.0
2020-01-07 00:00:00+00:00,100000.0,100000.0
2020-01-08 00:00:00+00:00,100000.0,100000.0
2020-01-09 00:00:00+00:00,100000.0,100000.0
2020-01-10 00:00:00+00:00,100000.0,100000.0
2020-01-11 00:00:00+00:00,100000.0,100000.0
2020-01-12 00:00:00+00:00,100000.0,100000.0
2020-01-13 00:00:00+00:00,100000.0,100000.0
2020-01-14 00:00:00+00:00,100000.0,100000.0
2020-01-15 00:00:00+00:00,100000.0,100000.0
2020-01-16 00:00:00+00:00,100000.0,100000.0
2020-01-17 00:00:00+00:00,100000.0,100000.0
2020-01-18 00:00:00+00:00,100000.0,100000.0
2020-01-19 00:00:00+00:00,100000.0,100000.0
2020-01-20 00:00:00+00:00,100000.0,100000.0
2020-01-21 00:00:00+00:00,100000.0,100000.0
2020-01-22 00:00:00+00:00,100000.0,100000.0
2020-01-23 00:00:00+00:00,100000.0,100000.0
2020-01-24 00:00:00+00:00,100000.0,100000.0
2020-01-25 00:00:00+00:00,100000.0,100000.0
2020-01-26 00:00:00+00:00,100000.0,100000.0
2020-01-27 00:00:00+00:00,100000.0,100000.0
2020-01-28 00:00:00+00:00,100000.0,100000.0
2020-01-29 00:00:00+00:00,100000.0,100000.0
2020-01-30 00:00:00+00:00,100000.0,100000.0
2020-01-31 00:00:00+00:00,100011.04328581851,99861.04328581852
2020-02-01 00:00:00+00:00,99972.95774984817,99823.01487184399
2020-02-02 00:00:00+00:00,99972.2274837177,99822.28570099176
2020-02-03 00:00:00+00:00,99992.38722238381,99842.41520338895
2020-02-04 00:00:00+00:00,99974.92450306036,99824.97867525215
2020-02-05 00:00:00+00:00,99998.34905525915,99848.36809450245
2020-02-06 00:00:00+00:00,99993.167658075,99843.19446855587
2020-02-07 00:00:00+00:00,100031.38753238754,99881.35701938733
2020-02-08 00:00:00+00:00,100056.98853477374,99906.91962451026
2020-02-09 00:00:00+00:00,100052.04157824909,99901.98008760106
2020-02-10 00:00:00+00:00,100036.24272589205,99886.20493090576
2020-02-11 00:00:00+00:00,100031.80847269484,99881.7773283539
2020-02-12 00:00:00+00:00,100033.12336432557,99883.09024786498
2020-02-13 00:00:00+00:00,100038.15293731644,99888.11227732942
2020-02-14 00:00:00+00:00,100066.76891660289,99916.68533738665
2020-02-15 00:00:00+00:00,100080.19483334727,99930.09111747965
2020-02-16 00:00:00+00:00,100088.42761566941,99938.3115519919
2020-02-17 00:00:00+00:00,100066.22757844899,99916.14481115028
2020-02-18 00:00:00+00:00,100058.33823711897,99908.26730252554
2020-02-19 00:00:00+00:00,100092.66750479862,99942.54508198965
2020-02-20 00:00:00+00:00,100085.16572866557,99935.05455727829
2020-02-21 00:00:00+00:00,100091.88436857193,99941.76312033761
2020-02-22 00:00:00+00:00,100104.4562918239,99954.316187787
2020-02-23 00:00:00+00:00,100091.18409295204,99941.06389501518
2020-02-24 00:00:00+00:00,100069.50667005732,99919.41898466434
2020-02-25 00:00:00+00:00,100049.83745485914,99899.77927003113
2020-02-26 00:00:00+00:00,100065.65066438264,99915.56876235951
2020-02-27 00:00:00+00:00,100070.84603246472,99920.75633824996
2020-02-28 00:00:00+00:00,100063.20361357319,99913.12538172095
2020-02-29 00:00:00+00:00,100042.64971887383,99892.60231445926
2020-03-01 00:00:00+00:00,100051.24766224332,99901.18736233779
2020-03-02 00:00:00+00:00,100053.96587922506,99903.90150244428
2020-03-03 00:00:00+00:00,100075.13295388955,99925.0368300027
2020-03-04 00:00:00+00:00,100098.1106167205,99947.9800301452
2020-03-05 00:00:00+00:00,100080.8118765349,99930.7072352047
2020-03-06 00:00:00+00:00,100052.61819964115,99902.55584415654
2020-03-07 00:00:00+00:00,100053.0592315525,99902.99621459308
2020-03-08 00:00:00+00:00,100074.16977936264,99624.36611143427
2020-03-09 00:00:00+00:00,100082.41808561346,99632.57734399854
2020-03-10 00:00:00+00:00,100070.49315753813,99620.70601493282
2020-03-11 00:00:00+00:00,100078.73664629519,99628.91245165649
2020-03-12 00:00:00+00:00,100110.55750535682,99660.59028540847
2020-03-13 00:00:00+00:00,100110.84152124243,99660.87302472704
2020-03-14 00:00:00+00:00,100143.19552951363,99693.08161134124
2020-03-15 00:00:00+00:00,100091.70332932864,99641.82085330125
2020-03-16 00:00:00+00:00,100109.17439220786,99659.21338894228
2020-03-17 00:00:00+00:00,100111.92052257746,99661.94717627157
